year,title,artist,price,techniques,Unframed Dimensions,Unframed Dimensions (inch),tags,support,encadrement,image_filename
2025,Evasion,Nadia Zouari,1 200 €,"acrylique, encre pigmentaire, fusain, Liant Acrylique",60 x 40 x 1.5 cm,23.6 x 15.7 x 0.6 inch,"Abstrait, Mouvement, noir, bleu foncé, Abstraction Lyrique, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Evasion_Nadia Zouari_2025.jpg
2022,Stupid Game  Fetishes Series,Natasha Lelenco,1 080 €,"peinture aérosol, acrylique",60 x 60 x 4 cm,23.6 x 23.6 x 1.6 inch,"Portrait, Fantastique, Flore, Surréalisme, Visages, Nature, bleu ciel, vert, Portraitistes cubistes hauts en couleur, Artistes Sculpteurs, Artistes Peintres, Artistes Espagnols",Not Found,Non encadrée,Stupid Game  Fetishes Series_Natasha Lelenco_2022.jpg
2023,I want to shine for you,Gaëlle Wagner,1 900 €,"peinture aérosol, acrylique",90 x 90 x 2 cm,35.4 x 35.4 x 0.8 inch,"Abstrait, Art abstrait, Cercle, multicolore, Artistes paysagistes semi-abstraits, Abstraction gestuelle, Accumulations joyeuses colorées, Explosions de couleurs, Explorations abstraites, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Français",Peinture sur toile sur chassis,Cadre en bois beige,I want to shine for you_Gaëlle Wagner_2023.jpg
2025,Transformation,Denitsa Mihaylova,1 150 €,acrylique,50 x 50 x 2 cm,19.7 x 19.7 x 0.8 inch,"Abstrait, multicolore, orange, Abstraction Lyrique, Artistes Peintres, Artistes Bulgares",Peinture sur toile sur chassis,Non encadrée,Transformation_Denitsa Mihaylova_2025.jpg
2025,Transformation,Denitsa Mihaylova,1 150 €,acrylique,50 x 50 x 2 cm,19.7 x 19.7 x 0.8 inch,"Abstrait, multicolore, orange, Abstraction Lyrique, Artistes Peintres, Artistes Bulgares",Peinture sur toile sur chassis,Non encadrée,Transformation_Denitsa Mihaylova_2025.jpg
2024,Vague  Collection Femme  la Peau Bleue,Géraldine Auret,3 200 €,acrylique,89 x 116 x 2 cm,35 x 45.7 x 0.8 inch,"Abstrait, Mer, Mouvement, Océan, Vagues, bleu foncé, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Caisse américaine noir,Vague  Collection Femme  la Peau Bleue_Géraldine Auret_2024.jpg
2024,Vague  Collection Femme  la Peau Bleue,Géraldine Auret,3 200 €,acrylique,89 x 116 x 2 cm,35 x 45.7 x 0.8 inch,"Abstrait, Mer, Mouvement, Océan, Vagues, bleu foncé, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Caisse américaine noir,Vague  Collection Femme  la Peau Bleue_Géraldine Auret_2024.jpg
Year Extraction Failed,Title Extraction Failed,Artist Extraction Failed,6 000 €,acrylique,130 x 130 x 3 cm,51.2 x 51.2 x 1.2 inch,"Abstrait, Expressionnisme abstrait, Paysage, bleu foncé, vert, Artistes paysagistes abstraits, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Title Extraction Failed_Artist Extraction Failed_Year Extraction Failed.jpg
Year Extraction Failed,Title Extraction Failed,Artist Extraction Failed,6 000 €,acrylique,130 x 130 x 3 cm,51.2 x 51.2 x 1.2 inch,"Abstrait, Expressionnisme abstrait, Paysage, bleu foncé, vert, Artistes paysagistes abstraits, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Title Extraction Failed_Artist Extraction Failed_Year Extraction Failed.jpg
2013,Teminal,Jun Gu Noh,1 400 €,"crayon, gouache",36 x 56 x 0.2 cm,14.2 x 22 x 0.1 inch,"Scène de vie, Oeuvres d'art Pop art, Vehicules, Figuratif, Bus, Illustration, bleu ciel, Artistes Peintres, Artistes Sud-coréens",Not Found,Cadre marron,Teminal_Jun Gu Noh_2013.jpg
